Time,instant_load
2021/8/3 7:28:16,33.18082
2021/8/3 7:33:21,33.31401
2021/8/3 7:38:26,33.52089
2021/8/3 7:43:31,33.48200
2021/8/3 7:48:37,33.10056
2021/8/3 7:53:12,32.65316
2021/8/3 7:58:17,32.33248
2021/8/3 8:08:26,29.53191
2021/8/3 8:13:31,30.51482
2021/8/3 8:18:36,30.12329
2021/8/3 8:23:40,30.62641
2021/8/3 8:28:15,30.29840
2021/8/3 8:33:20,33.53413
2021/8/3 8:38:25,28.00270
2021/8/3 8:43:30,33.50971
2021/8/3 8:48:34,33.41517
2021/8/3 8:53:38,33.39869
2021/8/3 8:58:14,33.75729
2021/8/3 9:03:18,34.11227
2021/8/3 9:08:23,34.44337
2021/8/3 9:13:28,34.09943
2021/8/3 9:48:29,35.96316
2021/8/3 9:53:34,35.49374
2021/8/3 9:58:38,35.42839
2021/8/3 10:03:13,34.66752
2021/8/3 10:08:17,35.08325
2021/8/3 10:16:31,199.10000
2021/8/3 10:21:36,198.70000
2021/8/3 10:27:37,198.70000
2021/8/3 10:32:42,197.80000
2021/8/3 10:37:47,198.20000
2021/8/3 11:20:35,39.47041
2021/8/3 11:25:40,39.17505
2021/8/3 11:29:46,38.00462
2021/8/3 11:34:51,37.89357
2021/8/3 11:39:56,37.90379
2021/8/3 11:45:01,32.04404
2021/8/3 11:50:06,32.62998
2021/8/3 11:54:42,32.79696
2021/8/3 11:59:47,31.61947
2021/8/3 12:04:52,31.44994
2021/8/3 12:24:41,31.96389
2021/8/3 12:29:46,31.25850
2021/8/3 12:54:43,35.21545
2021/8/3 12:59:48,35.41285
2021/8/3 13:04:53,27.10955
2021/8/3 13:09:58,33.17282
2021/8/3 13:15:03,35.51763
2021/8/3 13:20:08,35.24134
2021/8/3 13:24:43,34.58680
2021/8/3 13:29:49,34.31561
2021/8/3 13:34:54,33.21542
2021/8/3 13:39:59,32.81324
2021/8/3 13:45:04,33.13519
2021/8/3 13:49:39,33.29668
2021/8/3 13:54:44,33.21505
2021/8/3 13:59:49,33.31148
2021/8/3 14:04:54,33.70881
2021/8/3 14:10:00,33.75917
2021/8/3 14:15:05,33.40167
2021/8/3 14:19:41,34.25462
2021/8/3 14:24:47,34.05681
2021/8/3 14:29:52,32.97209
2021/8/3 14:34:56,32.33040
2021/8/3 14:40:01,31.93459
2021/8/3 14:45:05,32.23431
2021/8/3 14:49:40,32.14922
2021/8/3 14:54:45,32.19553
2021/8/3 14:59:49,32.79715
2021/8/3 15:04:54,32.88424
2021/8/3 15:09:59,33.66779
2021/8/3 15:15:04,37.37110
2021/8/3 15:19:40,37.13507
2021/8/3 15:24:44,39.82051
2021/8/3 15:29:48,26.89383
2021/8/3 15:34:52,34.01942
2021/8/3 15:38:35,196.80000
2021/8/3 15:41:42,33.83214
2021/8/3 15:45:32,38.49734
2021/8/3 15:50:36,37.51516
2021/8/3 15:55:40,36.94168
2021/8/3 16:05:49,31.09228
2021/8/3 16:10:54,31.52687
2021/8/3 16:15:29,31.53613
2021/8/3 16:20:33,31.79497
2021/8/3 16:22:58,31.42276
2021/8/3 16:32:04,30.87521
2021/8/3 16:36:37,30.19321
2021/8/3 16:41:10,30.72633
2021/8/3 16:43:12,33.81230
2021/8/3 16:52:20,34.73294
2021/8/3 16:53:51,34.64412
2021/8/3 17:01:27,29.99272
2021/8/3 17:05:31,23.73931
2021/8/3 17:11:04,28.64660
2021/8/3 17:16:07,32.51131
2021/8/3 17:18:09,32.39725
2021/8/3 17:27:47,32.88909
2021/8/3 17:29:49,32.27023
2021/8/3 17:37:25,33.55217
2021/8/3 17:40:30,33.25274
2021/8/3 17:47:06,33.65919
2021/8/3 17:51:39,33.20275
2021/8/3 17:54:42,33.05140
2021/8/3 18:39:51,32.92324
2021/8/3 18:43:25,32.57717
2021/8/3 19:09:48,32.37642
2021/8/3 19:16:24,32.35592
2021/8/3 19:20:28,32.60734
2021/8/3 19:41:22,31.58416
2021/8/3 19:42:53,31.49248
2021/8/3 20:02:09,31.63275
2021/8/3 20:11:17,32.28000
2021/8/3 20:13:50,32.29640
2021/8/3 20:17:53,33.03221
2021/8/3 20:25:00,38.18637
2021/8/3 21:01:31,35.81329
2021/8/3 21:06:06,32.32115
2021/8/3 21:11:41,31.83975
2021/8/3 21:26:55,31.12231
2021/8/3 21:50:19,34.78692
2021/8/3 22:31:32,35.64060
2021/8/3 22:39:09,36.40586
2021/8/3 22:51:53,36.49435
2021/8/3 22:55:26,35.79998
2021/8/3 23:16:18,35.74791
2021/8/3 23:18:50,35.47010
2021/8/3 23:26:28,35.27375
2021/8/3 23:32:34,37.93764
2021/8/3 23:37:07,37.15563
2021/8/3 23:39:10,36.79784
2021/8/3 23:45:47,35.72022
2021/8/3 23:52:23,32.56460
2021/8/3 23:56:58,33.10128
2021/8/4 0:17:50,33.52266
2021/8/4 0:24:27,33.05576
2021/8/4 0:30:03,32.70491
2021/8/4 0:35:08,32.26047
2021/8/4 0:42:45,32.47562
2021/8/4 0:43:15,32.44649
2021/8/4 0:49:53,32.31252
2021/8/4 0:57:00,33.03845
2021/8/4 1:02:37,32.73552
2021/8/4 1:05:09,32.53538
2021/8/4 1:12:18,32.73486
2021/8/4 1:12:48,33.02034
2021/8/4 1:19:56,33.20602
2021/8/4 1:24:00,34.86020
2021/8/4 1:32:09,35.25944
2021/8/4 1:37:15,35.10088
2021/8/4 1:40:49,34.67495
2021/8/4 1:43:21,34.37978
2021/8/4 1:47:56,34.30402
2021/8/4 1:53:32,31.64862
2021/8/4 2:02:12,32.11283
2021/8/4 2:05:15,32.57933
2021/8/4 2:11:22,33.06373
2021/8/4 2:16:58,33.89388
2021/8/4 2:17:59,34.00435
2021/8/4 2:27:10,32.97038
2021/8/4 2:32:16,32.89995
2021/8/4 2:34:18,33.27973
2021/8/4 2:41:27,33.05388
2021/8/4 2:46:32,33.18793
2021/8/4 2:50:37,30.15000
2021/8/4 2:53:10,30.34088
2021/8/4 2:58:46,30.86702
2021/8/4 3:03:52,32.20352
2021/8/4 3:16:05,36.47157
2021/8/4 3:19:40,36.22440
2021/8/4 3:24:45,36.26283
2021/8/4 3:31:23,36.16219
2021/8/4 3:36:58,35.84331
2021/8/4 3:41:33,35.77073
2021/8/4 3:46:08,35.17082
2021/8/4 3:48:10,35.19757
2021/8/4 3:53:16,34.67417
2021/8/4 4:00:24,32.88104
2021/8/4 4:06:30,33.39255
2021/8/4 4:08:02,33.57077
2021/8/4 4:17:12,33.47845
2021/8/4 4:21:18,36.02082
2021/8/4 4:22:49,35.66287
2021/8/4 4:28:56,35.61401
2021/8/4 4:37:06,35.17107
2021/8/4 4:39:38,34.97090
2021/8/4 4:46:15,34.52484
2021/8/4 4:49:19,34.66809
2021/8/4 4:56:57,34.12177
2021/8/4 4:57:58,34.61440
2021/8/4 5:03:04,34.51563
2021/8/4 5:11:44,32.80979
2021/8/4 5:13:15,32.48508
2021/8/4 5:18:20,35.46820
2021/8/4 5:27:00,34.07175
2021/8/4 5:30:03,33.60181
2021/8/4 5:33:37,31.34360
2021/8/4 5:42:46,32.70424
2021/8/4 5:43:47,32.85272
2021/8/4 5:50:55,33.28755
2021/8/4 5:56:00,33.16307
2021/8/4 6:01:37,33.52219
2021/8/4 6:05:41,34.26061
2021/8/4 6:11:48,34.18320
2021/8/4 6:15:22,34.74505
2021/8/4 6:18:56,34.55472
2021/8/4 6:23:30,34.11520
2021/8/4 6:30:38,33.49496
2021/8/4 6:36:14,31.90216
2021/8/4 6:40:18,32.31773
2021/8/4 6:46:25,32.56821
2021/8/4 6:47:57,33.05583
2021/8/4 6:53:02,33.19778
2021/8/4 6:58:39,33.16283
2021/8/4 7:05:46,33.18944
2021/8/4 7:11:52,32.47819
2021/8/4 7:21:33,31.53213
2021/8/4 7:25:36,31.40549
2021/8/4 7:29:10,31.62234
2021/8/4 7:34:46,31.72525
2021/8/4 7:40:22,32.50620
2021/8/4 7:43:25,32.54909
2021/8/4 7:50:02,31.80787
2021/8/4 7:55:38,31.61096
2021/8/4 8:05:48,31.75577
2021/8/4 8:11:54,31.85205
2021/8/4 8:13:25,30.19880
2021/8/4 8:21:03,30.97645
2021/8/4 8:25:07,31.82426
2021/8/4 8:30:43,34.09172
2021/8/4 8:32:45,34.09080
2021/8/4 8:40:22,34.20130
2021/8/4 8:43:25,36.12149
2021/8/4 8:49:01,34.87766
2021/8/4 8:56:37,32.60824
2021/8/4 8:59:10,33.02237
2021/8/4 9:07:17,32.88139
2021/8/4 9:10:51,32.14081
2021/8/4 9:39:44,31.66267
2021/8/4 10:01:03,28.28045
2021/8/4 10:06:05,28.97804
2021/8/4 10:26:29,29.53093
2021/8/4 10:32:54,29.40630
2021/8/4 10:34:08,29.37570
2021/8/4 10:48:27,29.69376
2021/8/4 10:52:31,29.86053
2021/8/4 10:55:02,30.08271
2021/8/4 10:59:36,34.17738
2021/8/4 11:19:54,31.95583
2021/8/4 11:27:00,28.62704
2021/8/4 11:36:39,28.58919
2021/8/4 11:40:12,28.88408
2021/8/4 11:47:50,35.08881
2021/8/4 11:53:25,34.15639
2021/8/4 11:58:30,34.11862
2021/8/4 12:00:32,34.03142
2021/8/4 12:04:36,33.87997
